pid,cond,condLabel,dv,dv_binary,FreeResponse,Duration,ResponseId,God,Intuition,ScienceBelief,ScienceBelief_Reverse,Sex,SexBinary1Male,Race/Ethnicity,RaceBinary1White,Age,AgeBinary1Old,Education,EducationBinary1Degree,Income,IncomeBinary1HighInc,IntuitionScore_ByHand,RepeatTurkerLabelCode
12,ABL,ABlong,1,1,This is an experiment that involves unwitting participants and puts peoples lives at risk. This is not a good way to go about this research.,,R_3p9hm5Th24ZBt0H,1,1,5,1,1,1,3,1,31,0,3,0,2,0,3,0
18,ABL,ABlong,4,0,I think self driving cars will be part of our future. I am  curious if it is better to speed up or stop at a yellow light.,,R_12kYPrBELLkrpRI,3,3,3,3,2,0,3,1,33,0,4,1,5,1,9,0
20,ABL,ABlong,3,0,"I feel like it is reckless. However, it will achieve results.",,R_3lYrJN2pzrhlszO,3,3,3,3,1,1,3,1,30,0,4,1,5,1,9,0
21,ABL,ABlong,4,0,All possibilities need to be tested to see which one works the best. It is appropriate for the director to choose both methods.,,R_3sc626eGHjjG8ua,4,4,5,1,1,1,3,1,46,1,4,1,1,0,9,1
25,ABL,ABlong,2,1,I think it's just setting up people for accidents while this experiment runs its course. The programmers need to think about it some more and come up with something less dangerous (if possible).,,R_0llX8GBarR9vGJb,1,1,5,1,1,1,3,1,46,1,3,0,5,1,3,0
32,ABL,ABlong,4,0,"Either way there will be accidents. There's no way to see which option will be safer unless there is a trial and error study such as this. I think that it's dangerous slightly, but not anymore dangerous than human drivers. That's why I chose somewhat appropriate.",,R_1PZ7Tl6BOv2TcUI,3,2,5,1,2,0,1,0,30,0,3,0,2,0,6,0
39,ABL,ABlong,3,0,"Just like him, I don't know which is the better choice but I don't like the idea of on the road testing",,R_3eq0U4kRehIZnXe,1,1,4,2,2,0,1,0,27,0,3,0,1,0,4,1
43,ABL,ABlong,5,0,I believe that it is appropriate to do what they are doing.  They are just trying to find a solution to a big problem and in the end it will make the roads much safer.,,R_3kmHznrj09mUP1N,1,5,5,1,2,0,3,1,31,0,2,0,3,0,7,0
45,ABL,ABlong,2,1,Just get it right.  Don't take chances one way or the other.  I wouldn't trust a self driving car not to put me in an accident at a yellow light.,,R_3e9NtTUBhplQNZT,4,3,4,2,2,0,3,1,41,1,3,0,3,0,9,0
48,ABL,ABlong,3,0,"It is a difficult decision to make because he generally has a good idea by testing out both cars at yellow but it doesn't help the whole drivers experience, only one part of it. So therefore, I am neutral.",,R_3rOELo5bhKWBP6n,5,3,5,1,2,0,3,1,31,0,4,1,3,0,9,0
53,ABL,ABlong,4,0,If it is not know which option is safer then it is appropriate to try and find which is safer in order to reduce accidents in the long term.,,R_1IjfqygbkzGfSIN,1,2,5,1,1,1,3,1,55,1,4,1,4,1,4,0
56,ABL,ABlong,4,0,I think if you are going to test self driving cars the experiment must contain enough variables to get better results.  A lot of things should be considered.,,R_1lryVdEWnj1FoU2,2,1,5,1,1,1,3,1,39,1,6,1,4,1,4,0
58,ABL,ABlong,1,1,"The scenario stated cars that are programmed to break whenever they are close to a stoplight that's yellow would reduce side-impact collisions in heavy traffic.  The safety of those passengers should be the main concern.  The car behind that car should be stopping or not stopping based on the car in front of it, not the light sequence.  I think the director needs to program all of them to stop at a yellow.",,R_p5ZbNCAVgkiuPT3,1,1,5,1,1,1,3,1,40,1,4,1,6,1,3,0
62,ABL,ABlong,2,1,"This is sort of like throwing everything at the wall and seeing what sticks. I would need to read a hypothesis for the rationale behind each decision. Furthermore, I think it is unethical to attempt this experiment in a real world scenario as drivers would be unknowingly susceptible to harm.",,R_1PTQvCckQDia1My,3,2,5,1,1,1,3,1,31,0,4,1,2,0,6,1
63,ABL,ABlong,5,0,because it's using a real-world scenario to test a hypothesis that could cause damage to life/property.,,R_2qEOq1nnz58dDvi,4,3,5,1,1,1,3,1,32,0,3,0,2,0,8,0
69,ABL,ABlong,4,0,"I think this is somewhat appropriate because it is best to test out which option works better between the 2. One thing he is missing is that one type of accident might cause more harm than the other, albeit happening less often.",,R_7PoEO9DCSTzRqfv,1,2,5,1,1,1,3,1,25,0,6,1,4,1,4,0
72,ABL,ABlong,3,0,"I dont think technology will ultimately benefit mankind. It could be a part in our end. It needs to serve a practical purpose, I believe for the individual and society as a whole, but when is enough--Enough? Gets to a point where man plays God or wishes to be his own god. Heaven forfend people just keep driving like we have been for 100 years..",,R_Dl6UObVPb6upAFX,5,5,2,4,1,1,3,1,43,1,3,0,5,1,14,0
75,ABL,ABlong,1,1,The testing to see which measure should be done within more constricted parameters. It is extremely wrong to use the public as guinea pigs.,,R_2fdrwNO4ODXR2TE,1,1,5,1,2,0,1,0,34,1,4,1,4,1,3,0
80,ABL,ABlong,2,1,i feel that its somewhat inappropriate because you are utilizing test at the cost of one of the many drivers on the road with these cards...,,R_2sZ9DWl8WC5uOgE,4,3,5,1,2,0,1,0,25,0,3,0,2,0,8,0
83,ABL,ABlong,1,1,He should test this setting and perfect it before the cars are out in the public instead of during the first year. This seems inappropriate and irresponsible to me.,,R_123eJAvR6ZDS7d2,4,2,4,2,1,1,3,1,27,0,4,1,2,0,8,0
87,ABL,ABlong,1,1,Because the decision to have automated cars accelerating towards stop lights is very dangerous and unethical. It puts the public at risk for company profits.,,R_1outtaEtRQsQTan,2,1,5,1,1,1,3,1,30,0,4,1,4,1,4,0
88,ABL,ABlong,4,0,"If the cars are going to be on the road anyway, it is appropriate that the experiment is being done. It is best to see which way causes fewer accidents.",,R_3no8AzeLOU9RDtk,1,1,5,1,2,0,3,1,31,0,3,0,3,0,3,0
13,ABS,ABshort,5,0,They need to discover which works best. If this experiment works it will give them which will have less accidents.,,R_3PAjPNFCuwO4IRk,2,2,5,1,2,0,2,0,27,0,6,1,1,0,5,0
14,ABS,ABshort,4,0,By doing so it will ensure that there will never be collision.,,R_1gjZrXkVOoWnaAw,4,2,4,2,2,0,1,0,28,0,4,1,6,1,8,0
17,ABS,ABshort,5,0,It just mimics human behavior.  I don't see how it's any more safe than what humans already do.,,R_3IZiD0OpfiQD4Aw,2,4,5,1,1,1,3,1,30,0,3,0,3,0,7,0
19,ABS,ABshort,1,1,Risk of accidents when going through a yellow is too high,,R_1DJb8jKS8qt8VYs,5,4,5,1,2,0,3,1,50,1,4,1,6,1,10,0
23,ABS,ABshort,2,1,"It's not entirely clear what the context of the experiment is. If this is being done in a live environment with real drivers in other cars though, then it's pretty unethical. That's how I rated.",,R_1QKQ0J4sdjEbsBn,1,1,5,1,1,1,3,1,35,1,4,1,4,1,3,1
26,ABS,ABshort,1,1,A yellow light is basically a red light and gassing on it when you see one is a very bad idea.If you can stop just go ahead and stop and if you cannot that's what the yellow light is for.,,R_308HG2XVP2kjkcp,5,4,1,5,1,1,3,1,52,1,2,0,2,0,14,0
27,ABS,ABshort,4,0,I think it will be the best way to see which option creates more accidents.,,R_2rrrl2gSm90d1Pu,2,2,4,2,2,0,3,1,30,0,3,0,3,0,6,0
29,ABS,ABshort,4,0,it;s a reasonable test,,R_1o6btLMHJOCSoUa,5,3,4,2,2,0,3,1,25,0,3,0,3,0,10,1
30,ABS,ABshort,2,1,"Well it doesn't say if the cars are going to be tested in actual traffic, but if so then it would be bad. It would require accidents to happen in order to do the experiment.",,R_3qr32Dyc8uzlW2M,1,1,5,1,2,0,3,1,26,0,5,1,5,1,3,0
36,ABS,ABshort,2,1,"Well, braking is a good idea, BUT the car should be able to brake slowly, otherwise collisions will still be bad. The acceleration idea is horrible unless the system is completely flawless in every other way.",,R_3RqsEXn6keJ2k6R,5,4,4,2,2,0,3,1,40,1,3,0,2,0,11,0
42,ABS,ABshort,2,1,there is a 50/50 chance that the car will run the actual light.,,R_2QYZrQOGFnAC8V6,5,3,3,3,2,0,3,1,50,1,3,0,3,0,11,0
44,ABS,ABshort,2,1,I feel yellow lights mean slow down and not speed up even though most srivers tend to do that to beat the red light.,,R_2rMKaiWy1BLBZhI,1,1,5,1,1,1,3,1,28,0,2,0,2,0,3,1
