StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,xAB1,FreeResponse,xAB2,FreeResponse,xAB3,FreeResponse,xAB4,FreeResponse,xAB5,FreeResponse,xAB6,FreeResponse,xAB7,FreeResponse,xAB8,FreeResponse,xAB9,FreeResponse,xAB10,FreeResponse,xAB11,FreeResponse,Sex,Race/Ethnicity,Age,Education,Income
10/23/17 18:02,10/23/17 18:04,0,151.159.111.33,100,94,1,10/23/17 18:04,R_1i97h7mLQw7PR0r,,,,,44.12089539,-103.1977997,anonymous,EN,,,,,,,5,It is his job to decide how to best combat poverty using welfare. This is simply finding the most effective way to deal with poverty.,,,,,,,,,,,,,,,1,3,20,3,4
10/23/17 18:02,10/23/17 18:04,0,73.157.177.196,100,111,1,10/23/17 18:04,R_rl2SmwDeV6XMmSR,,,,,45.6446991,-122.6297989,anonymous,EN,,,,,,,2,"It seems unfair to use peoples lives as an experiments, especially without their knowledge.",,,,,,,,,,,,,,,2,3,21,2,1
10/23/17 18:02,10/23/17 18:04,0,107.5.244.124,100,125,1,10/23/17 18:04,R_30iwhA45I8u0gvB,,,,,42.91960144,-83.64959717,anonymous,EN,,,,,4,both ranges fall within the best level,,,,,,,,,,,,,,,,,2,3,41,3,5
10/23/17 18:02,10/23/17 18:04,0,107.77.225.101,100,150,1,10/23/17 18:04,R_1jjMRwmeRJnjFtk,,,,,40.86480713,-73.88670349,anonymous,EN,,,,,,,,,,,5,It's a great idea because a year is a good amount of time to figure out which poster is better. ,,,,,,,,,,,1,3,34,4,4
10/23/17 18:01,10/23/17 18:04,0,76.219.172.189,100,170,1,10/23/17 18:04,R_22RGdt7nF4DhfDu,,,,,39.88540649,-85.97380066,anonymous,EN,,,,,,,,,4,It sounds like they are trying to find a method to motivate the teachers to perform better through offering rewards. I see no reason to dislike the idea.,,,,,,,,,,,,,1,3,40,2,3
10/23/17 18:02,10/23/17 18:05,0,24.225.114.170,100,185,1,10/23/17 18:05,R_30vodSRHkM6oKgI,,,,,48.76989746,-95.79039764,anonymous,EN,,,,,,,,,4,Well i think it's somewhat appropriate because in this scenario the teachers were going to benefit regardless. They're also running an experiment and not just deciding which will work better but actually trying 2 different things.,,,,,,,,,,,,,1,3,37,2,1
10/23/17 18:03,10/23/17 18:05,0,68.169.150.24,100,84,1,10/23/17 18:05,R_3gLbIci68cNtvo9,,,,,35.04859924,-85.15499878,anonymous,EN,,,,,,,,,,,,,,,,,,,2,"I would give all employees the same opportunity for retirement. If that meant that I had to run two different tests at two different times, then so be it.",,,2,3,26,2,5
10/23/17 18:02,10/23/17 18:05,0,174.197.1.191,100,156,1,10/23/17 18:05,R_3Db6oxLz3nKaKSM,,,,,42.20080566,-88.04299927,anonymous,EN,,,5,"It makes sense because medications can have varying levels of effectiveness. The doctor made a sound decision because all patients should have the best outcomes, in regards to medicine.",,,,,,,,,,,,,,,,,,,1,5,35,3,3
10/23/17 18:01,10/23/17 18:05,0,104.1.35.39,100,234,1,10/23/17 18:05,R_eP6Pt77QMZou7y9,,,,,25.83380127,-80.30169678,anonymous,EN,,,,,,,,,,,,,,,,,2,There has to be another way to help citizens find a job. Handing out money is not the solution.,,,,,2,2,40,4,5
10/23/17 18:01,10/23/17 18:05,0,66.188.202.13,100,234,1,10/23/17 18:05,R_1NxMarEOI5BcUmm,,,,,43.96209717,-92.52179718,anonymous,EN,,,,,,,,,,,,,,,,,4,"I would choose the $500 a month option.  I would try very hard to obtain employment, and would tend to believe I could find it relatively soon, and therefore make wages plus the $500 for some time.",,,,,1,3,65,4,3
10/23/17 18:03,10/23/17 18:05,0,98.236.190.202,100,168,1,10/23/17 18:05,R_2QX19RY82g5t3Ku,,,,,40.46809387,-79.91139984,anonymous,EN,,,,,,,,,,,,,2,"I think some might be offended and not do the test all together.   I think the best thing would be to find a bit more pleasant of a prep!  That is the worst part.   I barely could finish mine because it made me sick.  Thankfully the pharmacist suggested drinking broth before each swig of the prep.",,,,,,,,,2,3,65,3,2
10/23/17 18:03,10/23/17 18:06,0,24.112.224.56,100,154,1,10/23/17 18:06,R_3fr8AUOTuSslH80,,,,,40.86839294,-82.31490326,anonymous,EN,,,,,,,,,,,,,3,It's a good idea that the director is encouraging people to get colonoscopies but how appropriate their methods are depends on how the patients react to the different methods. That's why I chose neither appropriate or inappropriate. ,,,,,,,,,2,3,22,3,6
10/23/17 18:05,10/23/17 18:06,0,207.118.5.204,100,80,1,10/23/17 18:06,R_1qgkaVjahkn0hqA,,,,,47.29449463,-122.6220016,anonymous,EN,,,,,,,,,,,3,I think it's a good way to test out the best way to promote the idea. The one that is more successful can get more money and effort.,,,,,,,,,,,2,4,32,3,2
10/23/17 18:03,10/23/17 18:06,0,96.11.24.182,100,217,1,10/23/17 18:06,R_3lPJUb6Y4BGcF37,,,,,40.02310181,-83.18099976,anonymous,EN,,,,,,,,,,,,,,,4,"I think that it was somewhat appropriate because the people were all assigned at random. None of the people were put in an extremely harrowing situation as well.  Also, the director will allow for everyone to have a choice of which option they want to pursue a year after the test is complete.",,,,,,,1,1,31,6,6
10/23/17 18:05,10/23/17 18:07,0,66.43.198.37,100,117,1,10/23/17 18:07,R_pxAG6aAKGYyZOlX,,,,,41.13630676,-91.67520142,anonymous,EN,,,,,,,,,,,4,I feel this is a fair process.,,,,,,,,,,,2,3,26,3,2
10/23/17 18:03,10/23/17 18:07,0,71.10.176.96,100,227,1,10/23/17 18:07,R_4HJHLR3xPErCLZf,,,,,38.4907074,-90.37960052,anonymous,EN,,,,,,,,,,,,,,,,,2,It unfairly gives half of the unemployed reduced benefits.  The congress should apply a benefit fairly and evenly to all of those who qualify.,,,,,2,3,55,6,5
10/23/17 18:06,10/23/17 18:07,0,72.218.40.193,100,78,1,10/23/17 18:07,R_3NCkhFd4HdTDiX2,,,,,36.64630127,-76.25759888,anonymous,EN,,,,,,,,,,,,,,,,,,,3,"The CEO isn't harming anyone by doing this, and encouraging people to save is a good thing. The only downside is the fact that half of the new hires have an additional five stocks to pick from, some of which might be better.",,,2,3,25,4,3
10/23/17 18:04,10/23/17 18:07,0,24.29.214.123,100,177,1,10/23/17 18:07,R_2XdnYfQUqSQPbVn,,,,,41.23880005,-81.83149719,anonymous,EN,,,,,,,,,,,,,,,,,,,,,1,I do not feel that it is Doctor Jones is able to experiment like that. I thought that studies had to be taken. Also each person has their own needs.,2,3,28,4,5
10/23/17 18:06,10/23/17 18:07,0,74.130.238.214,100,94,1,10/23/17 18:07,R_2Xb4h9DDSn6J8I4,,,,,36.87930298,-86.45980072,anonymous,EN,,,,,,,,,,,,,,,4,It's appropriate because it helps those in a poor situation better themselves with a trade. ,,,,,,,2,3,29,4,1
10/23/17 18:06,10/23/17 18:08,0,98.146.205.201,100,113,1,10/23/17 18:08,R_1dtdJGgwq32251o,,,,,46.73219299,-117.2454987,anonymous,EN,,,,,4,It may seem somewhat inhumane but if they already know that both options of levels are safe I dont see the harm. It may be the fastest way to perform the study as well.,,,,,,,,,,,,,,,,,1,5,25,4,2
10/23/17 18:05,10/23/17 18:08,0,68.103.50.253,100,150,1,10/23/17 18:08,R_2rZS9mUqXg0QSZu,,,,,39.00709534,-95.92310333,anonymous,EN,,,3,"AS A PATIENT, I DON'T LIKE BEING USED AS A TEST SUBJECT, BUT THE DOCTOR DOES NOT SEEM TO HAVE VERY CLEAR INFORMATION TO WORK FROM AND NEEDS A WAY TO MAKE HIS OWN DETERMINATION, AND SINCE BOTH HAVE PRIOR APPROVAL THIS SEEMS LIKE A POTENTIALLY REASONABLE APPROACH.",,,,,,,,,,,,,,,,,,,2,3,56,4,6
10/23/17 18:07,10/23/17 18:08,0,104.249.126.29,100,90,1,10/23/17 18:08,R_3P6L2inTTvmqUAy,,,,,33.60539246,-117.6674957,anonymous,EN,,,,,,,,,2,You cannot compare schools or classrooms since demographics of schools and classrooms differ so vastly.,,,,,,,,,,,,,2,3,30,6,6
10/23/17 18:07,10/23/17 18:08,0,73.192.78.23,100,58,1,10/23/17 18:08,R_2aIRxbLR4LmOHcX,,,,,31.31469727,-81.52220154,anonymous,EN,,,,,,,,,,,,,,,3,I have no idea what one has to do with the other.,,,,,,,2,3,43,3,2
10/23/17 18:07,10/23/17 18:08,0,69.76.58.243,100,89,1,10/23/17 18:08,R_0SMjKPzIzmzrpzr,,,,,44.48890686,-88.07039642,anonymous,EN,,,,,,,,,,,,,4,It might get more people to get colonoscopies by providing them with an item or a service.  People like free stuff.,,,,,,,,,2,3,33,4,3
10/23/17 18:05,10/23/17 18:08,0,76.185.19.165,100,206,1,10/23/17 18:08,R_2TEMze2eO0w5Wni,,,,,32.80189514,-96.78829956,anonymous,EN,,,,,2,"If the babies will quite possibly die in the hospital anyhow, it could be viewed as a worthwhile cause to do such experiments. The goal obviously will be able to save more premature babies in the future with the information learned from this experiment. Without any detailed explanation, the head of the hospital's decision seems cold and cruel. But if the long term plan results in a higher survival rate, it may be for the best.",,,,,,,,,,,,,,,,,1,3,33,4,2
10/23/17 18:05,10/23/17 18:08,0,65.24.235.12,100,225,1,10/23/17 18:09,R_vogkso7mXLJNEDn,,,,,39.52250671,-82.41699982,anonymous,EN,,,,,,,4,I think it could be a good idea to experiment with different methods to see what works.,,,,,,,,,,,,,,,1,3,24,3,1
10/23/17 18:06,10/23/17 18:09,0,98.113.8.64,100,147,1,10/23/17 18:09,R_3nGb2nKwCDuTQ9u,,,,,40.76699829,-73.52539825,anonymous,EN,,,,,,,,,,,,,,,,,,,,,1,A walk in clinic is not a place for experiments. A doctor must do what is best for the patient. Studies that analyze the effectiveness of drugs should be carried out in an official setting and have people making sure the study is following ethical rules and so on.,2,4,24,3,1
10/23/17 18:08,10/23/17 18:09,0,173.165.25.189,100,95,1,10/23/17 18:09,R_yBzn123ADQ8gijL,,,,,41.84240723,-86.42340088,anonymous,EN,4,If the nurses and doctors are getting more sleep they would be better at their jobs,,,,,,,,,,,,,,,,,,,,,1,3,24,2,2
10/23/17 18:02,10/23/17 18:10,0,70.190.142.36,100,440,1,10/23/17 18:10,R_3rMs4PnIdsd1Igu,,,,,33.50909424,-112.0264969,anonymous,EN,,,,,,,,,,,4,The sentiment behind the Health Assistant is good but I'm unsure that it would be the most effective way of helping people.,,,,,,,,,,,2,2,25,2,2
10/23/17 18:07,10/23/17 18:10,0,66.57.92.98,100,149,1,10/23/17 18:10,R_1FnNXoYe9iVgMSF,,,,,36.13989258,-79.26650238,anonymous,EN,5,I think its a good idea to test out the two options. This way you can provide patients the best service.,,,,,,,,,,,,,,,,,,,,,1,3,27,4,2
10/23/17 18:06,10/23/17 18:10,0,47.145.150.17,100,221,1,10/23/17 18:10,R_2Rb8EAemHQh8jOh,,,,,34.06990051,-117.9421005,anonymous,EN,,,,,,,,,,,,,,,,,2,I believe this will create incentive for some people to not try to look for work due to the easy money given. I think the people getting money will grow depended on the money and will find a way to avoid working. ,,,,,1,3,27,4,3
10/23/17 18:07,10/23/17 18:10,0,128.172.48.58,100,178,1,10/23/17 18:10,R_0PdHbQZdew1HedX,,,,,37.55380249,-77.46029663,anonymous,EN,,,,,,,4,"I think this department head is willing to invest in the long run towards a proven record of success. It may not bring instant relief to both counties equally, but the strategy would produce benefits in the long run. A well-researched, successful approach takes time. The only hang up in this case is that there are more dependent variables in the second county than in the first that might throw off the experiment. ",,,,,,,,,,,,,,,1,3,28,4,3
10/23/17 18:01,10/23/17 18:10,0,76.73.223.193,100,539,1,10/23/17 18:10,R_3GrIfGAOvBB6FoE,,,,,30.2315979,-85.5019989,anonymous,EN,,,,,,,,,,,,,,,,,,,,,5,I chose this because I think that trying to figure out which pill to prescribe I would want to prescribe the one that is more effective. I also feel that they could get samples to distribute to the patients if they chose one as their go to medicine.,2,3,35,3,3
10/23/17 18:09,10/23/17 18:10,0,173.239.240.47,100,40,1,10/23/17 18:10,R_2S9aSRceQedmOyl,,,,,41.84829712,-87.65170288,anonymous,EN,,,,,2,He was doing his best with the information he had at the time. ,,,,,,,,,,,,,,,,,1,3,36,4,1
10/23/17 18:06,10/23/17 18:10,0,174.221.132.166,100,233,1,10/23/17 18:10,R_RrxQUeOtJuvPxuN,,,,,41.84829712,-87.65170288,anonymous,EN,,,1,"Because at that phase it isn't moral or ethical to test medications on humans.  They all deserve the chance to be well and healthy, and the ones getting the medication that doesn't ""work"" as well doesn't deserve the best options.",,,,,,,,,,,,,,,,,,,2,3,33,4,4
10/23/17 18:09,10/23/17 18:11,0,73.34.138.114,100,80,1,10/23/17 18:11,R_3MfjwgjESRSZQxg,,,,,38.95840454,-104.7573013,anonymous,EN,,,,,,,,,,,2,"Using different sections as experiments, there is no control population.",,,,,,,,,,,2,3,30,3,2
10/23/17 18:10,10/23/17 18:11,0,99.101.203.148,100,55,1,10/23/17 18:11,R_3MAUTFn7D1XjmP2,,,,,30.17660522,-95.51010132,anonymous,EN,,,,,,,1,"This is a horrible way to conduct an ""experiment"". Using his citizens as lab rats is a horrible thing to do.",,,,,,,,,,,,,,,1,3,18,3,1
10/23/17 18:11,10/23/17 18:12,0,173.89.78.18,100,59,1,10/23/17 18:12,R_1HeJmGQvllCNqag,,,,,41.168396,-81.53119659,anonymous,EN,,,,,,,4,Neither option seems to be harmful and it would be a good way to see which option is better,,,,,,,,,,,,,,,2,3,31,6,3
10/23/17 18:10,10/23/17 18:12,0,71.63.253.159,100,96,1,10/23/17 18:12,R_2CHgTIhEKxvlFc2,,,,,45.6867981,-122.5755997,anonymous,EN,,,,,,,,,,,,,,,,,5,"I support Universal Basic Income programs to stimulate wages, and this is a step towards that sort of a program. This stimulates the national economy, boosting the need for more jobs, which will gives these unemployed workers more opportunities to become employed.",,,,,1,3,27,3,2
10/23/17 18:11,10/23/17 18:12,0,173.239.214.14,100,53,1,10/23/17 18:12,R_2aP0MiUumtnDgD1,,,,,40.55160522,-74.46369934,anonymous,EN,,,5,"If both are intended and suspected to be effective with no major unforeseen side effects, it's entirely fair to do this.",,,,,,,,,,,,,,,,,,,1,3,27,4,3
10/23/17 18:10,10/23/17 18:12,0,172.2.58.14,100,121,1,10/23/17 18:12,R_3lJRSNVj0uF5xOI,,,,,34.18730164,-80.70639801,anonymous,EN,,,,,,,,,,,,,4,"Because it does seem like both could work and make it less intimidating. I just don't know if everyone would appreciate it and feel well about it, so I chose somewhat appropriate.",,,,,,,,,2,3,20,1,2
10/23/17 18:11,10/23/17 18:12,0,201.142.146.82,100,87,1,10/23/17 18:12,R_3KHojQcq0wjU7Kz,,,,,32.53329468,-117.0167007,anonymous,EN,5,So it can let itself sort out which policy works better.,,,,,,,,,,,,,,,,,,,,,1,2,24,4,2
10/23/17 18:11,10/23/17 18:12,0,192.171.18.169,100,87,1,10/23/17 18:12,R_1jp6kRPlgE3lCVQ,,,,,25.78059387,-80.18260193,anonymous,EN,,,,,,,,,,,,,,,,,,,,,4,"Since both drugs were approved by FDA, it means they are both safe, so there's nothing wrong with the doctor's decision.",1,3,23,4,4
10/23/17 18:08,10/23/17 18:12,0,24.210.109.66,100,294,1,10/23/17 18:12,R_uwfLmck5wGi7J61,,,,,42.03370667,-80.22850037,anonymous,EN,,,,,,,,,,,,,,,,,,,1,Because the company just need to explain all of the benefits of the retirements plans and then the new hires need to make their own decisions.,,,1,2,54,4,3
10/23/17 18:10,10/23/17 18:13,0,68.193.24.4,100,137,1,10/23/17 18:13,R_2TY3e0fXV29EEig,,,,,40.82400513,-74.36869812,anonymous,EN,,,,,,,,,4,I think he is trying to be fair with giving the teachers what they want.,,,,,,,,,,,,,1,2,31,4,3
10/23/17 18:10,10/23/17 18:13,0,108.233.24.88,100,146,1,10/23/17 18:13,R_265brwvBApimWdm,,,,,35.38319397,-119.2272034,anonymous,EN,,,,,,,,,,,,,,,,,,,,,1,You could possibly could harm the patients.  I believe leave it to the scientist to test,1,3,27,2,2
